Год,Месяц_текст,Название должности,Уровень позиции,Формат работы,Ключевые навыки,Город,Зарплата
2025,Март,архитектор,middle,офис,"['1С', 'SQL']",Мир,465000
2025,Март,разработчик,lead,гибрид,"['1С', 'ЗУП', 'БП', 'СКД']",Москва,250000
2025,Март,разработчик,middle,офис,"['1С', 'SQL', 'ERP', 'УПП', 'ЗУП']",Москва,375000
2025,Март,разработчик,middle,гибрид,"['1С', 'ЗУП']",Мир,262000
2025,Март,руководитель,lead,офис,"['1С', 'Python', 'ERP', 'УТ']",Воронеж,250000
2025,Март,аналитик,middle,удаленно,"['1С', 'ERP']",Москва,245000
2025,Март,консультант,senior,удаленно,"['1С', 'ERP']",Россия,188000
2025,Март,разработчик,senior,гибрид,"['1С', 'ЗУП']",Москва,220000
2025,Март,разработчик,lead,гибрид,"['1С', 'ERP']",Россия,350000
2025,Март,аналитик,lead,удаленно,"['1С', 'ERP']",Россия,350000
2025,Март,разработчик,lead,офис,"['1С', 'ERP', 'ЗУП']",Москва,275000
2025,Март,программист,lead,удаленно,"['1С', 'ERP']",Россия,262000
2025,Март,аналитик,manager,офис,"['1С', 'ERP']",Россия,562000
2025,Март,разработчик,middle,удаленно,['1С'],Мир,248000
2024,Июнь,программист,senior,удаленно,"['1С', 'ERP', 'УПП', 'ЗУП', 'УТ', 'СКД']",Москва,276000
2024,Июнь,архитектор,lead,офис,"['1С', 'ERP']",Москва,63000
2024,Июнь,разработчик,lead,удаленно,"['1С', 'ERP', 'ЗУП', 'БП', 'УТ', 'СКД']",Россия,350000
2024,Июнь,консультант,middle,удаленно,"['1С', 'ERP']",Россия,260000
2024,Июнь,разработчик,middle,удаленно,"['1С', 'ERP']",Россия,250000
2024,Июнь,консультант,senior,удаленно,"['1С', 'ERP']",Мир,275000
2024,Июнь,руководитель,lead,удаленно,"['1С', 'ERP', 'ЗУП', 'УТ']",Краснодар,325000
2024,Июнь,архитектор,lead,удаленно,"['1С', 'ЗУП']",Россия,438000
2024,Июнь,разработчик,lead,гибрид,['1С'],Мир,314000
2024,Июнь,программист,lead,удаленно,['1С'],Россия,375000
2024,Июнь,аналитик,lead,гибрид,"['1С', 'ERP']",Москва,276000
2024,Июнь,разработчик,senior,удаленно,"['1С', 'СКД']",Москва,262000
2024,Май,разработчик,middle,удаленно,"['1С', 'ЗУП', 'БП', 'СКД']",Мир,276000
2024,Май,специалист,middle,гибрид,"['1С', 'БП', 'УТ', 'СКД']",Москва,314000
2024,Май,аналитик,lead,удаленно,['1С'],Россия,235000
2024,Май,аналитик,lead,удаленно,"['1С', 'ERP', 'УПП']",Россия,225000
2024,Май,разработчик,lead,удаленно,['1С'],Россия,271000
2024,Май,разработчик,middle,удаленно,"['1С', 'REST API']",Москва,338000
2024,Май,разработчик,middle,гибрид,['1С'],Москва,375000
