Год,Месяц_текст,Название должности,Уровень позиции,Формат работы,Ключевые навыки,Город,Зарплата
2025,Март,программист,,офис,['1С'],Мир,250000
2025,Март,руководитель,manager,офис,['1С'],Мир,250150
2025,Март,разработчик,,офис,"['1С', 'ERP']",Мир,300100
2025,Март,"технический архитектор 1с (ух) компания: skillstaff зп 400-530k net формат: офис (санкт-петербург), fulltime ✔️задачи: • проектировать техническую архитектуру решений на платформе 1с:ух",middle,офис,"['1С', 'SQL']",Мир,465000
2025,Март,разработчик,middle,гибрид,"['1С', 'ERP']",Россия,250000
2025,Март,,,гибкий,"['1С', 'SQL']",Россия,312500
2025,Март,руководитель,manager,офис,['1С'],Мир,350000
2025,Март,программист,lead,офис,['1С'],Мир,300125
2025,Март,"опыт работы с конфигурацией 1с зарплата и учет персонала не менее 3 лет знание функциональных блоков модуля,",,удаленно,"['1С', 'ЗУП', 'СКД', 'SOAP']",Мир,300000
2025,Март,менеджер,,удаленно,['1С'],Мир,425000
2025,Март,разработчик,lead,офис,"['1С', 'ERP']",Мир,250100
2025,Март,ведущего разработчика 1с❤ rambler&co занимает первое место среди медиахолдингов россии по объему аудитории цифровых ресурсов,lead,гибрид,"['1С', 'ЗУП', 'БП', 'СКД']",Москва,250100
2025,Март,аналитик,senior,удаленно,"['1С', 'ERP']",Россия,400150
2025,Март,1с-разработчика категория: 300-400 локация: работа,middle,офис,"['1С', 'SQL', 'ERP', 'УПП', 'ЗУП']",Москва,375000
2025,Март,разработчик,middle,гибрид,"['1С', 'SQL', 'ERP', 'СКД']",Россия,275000
2025,Март,разработчик,,офис,['1С'],Мир,300100
2025,Март,разработчик,middle,удаленно,"['1С', 'ERP', 'ЗУП']",Москва,250000
2025,Март,аналитик,senior,удаленно,"['1С', 'ERP']",Россия,300000
2025,Март,программист,lead,офис,"['1С', 'ЗУП']",Мир,250100
2025,Март,программист,middle,удаленно,"['1С', 'ERP']",Москва,250000
2025,Март,разработчика 1с:зуп на проектную занятость (до 3 месяцев) категория: 200-300 локация: санкт-петербург формат: гибрид (1/2 дня,,гибрид,"['1С', 'ЗУП']",Мир,262500
2025,Март,программист,lead,офис,"['1С', 'ЗУП']",Мир,300125
2025,Март,разработчик,,гибрид,"['1С', 'ЗУП']",Россия,250000
2025,Март,программист,middle,офис,"['1С', 'SQL', 'ЗУП', 'СКД', 'XML']",Мир,250000
2025,Март,программист,lead,офис,['1С'],Мир,250125
2025,Март,программист,,гибрид,"['1С', 'ERP', 'ЗУП']",Москва,300125
2025,Март,аналитик,middle,удаленно,"['1С', 'SQL', 'ERP']",Москва,300125
2025,Март,аналитик,,офис,['1С'],Мир,500000
2025,Март,программист,,офис,['1С'],Мир,300150
2025,Март,конфигурации; — консультирование пользователей по,,офис,"['1С', 'УТ']",Нижний Новгород,250000
2025,Март,программист,middle,удаленно,['1С'],Россия,250000
2025,Март,разработчик,,удаленно,"['1С', 'ERP', 'ЗУП', 'XML', 'JSON', 'SOAP']",Москва,300125
2025,Март,программист,middle,гибрид,"['1С', 'ERP', 'ЗУП']",Москва,300125
2025,Март,разработчик,senior,офис,['1С'],Мир,250100
2025,Март,,middle,офис,"['1С', 'SQL', 'ERP', 'УПП', 'ЗУП']",Москва,250107
2025,Март,руководитель группы разработки 1с 📍 место работы: ка unity (агропромышленный сектор) 💻 формат работы: офис,lead,офис,"['1С', 'Python', 'ERP', 'УТ']",Воронеж,250000
2025,Март,будет проверяться и размещаться «как есть» 6,middle,офис,['1С'],Мир,250125
2025,Март,консультантов-аналитиков 1c:erp к нам,,удаленно,"['1С', 'ERP']",Москва,245000
2025,Март,аналитик,,гибрид,['1С'],Москва,285000
2025,Март,старшего консультанта 1с мсфо формат работы: удаленный по рф зп: оклад от 150 000р на руки требования: • стаж работы не менее 3-х лет,senior,удаленно,"['1С', 'ERP']",Россия,187500
2025,Март,разработчик 1с зуп компания: почтатех оклад: до 251000 net + годовой бонус формат работы: удаленно/гибрид/офис,,гибрид,"['1С', 'ЗУП']",Москва,219625
2025,Март,аналитик,lead,гибрид,"['1С', 'ERP']",Москва,312500
2025,Март,разработчик,lead,офис,"['1С', 'ERP', 'ЗУП', 'БП', 'УТ']",Ермолино,325000
2025,Март,разработчик 1с,,гибрид,"['1С', 'ERP']",Россия,350000
2025,Март,руководителя проекта,manager,удаленно,['1С'],Россия,312500
2025,Март,ведущего аналитика 1с предлагаем: • зп от 280 000 net (фикс оклад); • годовой бонус; • удаленный формат работы на территории рф; • дмс со стоматологией,lead,удаленно,"['1С', 'ERP']",Россия,350000
2025,Март,специалиста,middle,гибрид,"['1С', 'ERP', 'ЗУП']",Москва,450000
2025,Март,разработчик,middle,удаленно,['1С'],Мир,265000
2025,Март,аналитик,,офис,['1С'],Мир,250000
2025,Март,ведущего разработчика 1с:зуп,lead,офис,"['1С', 'ERP', 'ЗУП']",Москва,275000
2025,Март,аналитик,lead,удаленно,['1С'],Мир,400000
2025,Март,аналитик,middle,гибрид,"['1С', 'ERP']",Москва,337500
2025,Март,разработчик,lead,гибрид,"['1С', 'ERP']",Мир,350000
2025,Март,программиста 1с • опыт работы,,удаленно,"['1С', 'ERP']",Россия,262500
2025,Март,разработчик,senior,удаленно,"['1С', 'БП', 'СКД']",Санкт-Петербург,325000
2025,Март,руководителя проекта 1с:зуп,manager,офис,"['1С', 'ЗУП']",Москва,375000
2025,Март,аналитик,middle,удаленно,"['1С', 'ERP']",Нижний Новгород,250000
2025,Март,аналитик,lead,гибрид,"['1С', 'ERP']",Россия,400000
2025,Март,программист,lead,удаленно,['1С'],Мир,285000
2025,Март,директора направления аналитиков 1с предлагаем: • зп от 450 000 net (фикс оклад); • годовой бонус; • дмс со стоматологией,manager,офис,"['1С', 'ERP']",Россия,562500
2025,Март,разработчика 1с (senior) 🏙компания: itvolna,middle,удаленно,['1С'],Мир,248500
2025,Февраль,аналитик,,гибкий,"['1С', 'ERP', 'УТ']",Москва,306250
2025,Февраль,,,гибрид,['1С'],Москва,285000
2025,Февраль,менеджер,manager,гибрид,"['1С', 'ERP']",Россия,264915
2025,Февраль,консультант,lead,удаленно,"['1С', 'ERP']",Россия,284375
2024,Июнь,старшего программиста 1с,senior,удаленно,"['1С', 'ERP', 'УПП', 'ЗУП', 'УТ', 'СКД']",Москва,275500
2024,Июнь,разработчик,manager,гибрид,"['1С', 'ERP']",Москва,380000
2024,Июнь,консультант,,удаленно,"['1С', 'ERP', 'УТ']",Россия,265000
2024,Июнь,программист,lead,удаленно,"['1С', 'ERP', 'УТ']",Мир,250000
2024,Июнь,аналитик,lead,гибрид,"['1С', 'ERP']",Москва,262500
2024,Июнь,программист,lead,удаленно,"['1С', 'ERP', 'УТ']",Краснодар,337500
2024,Июнь,аналитик,,гибрид,"['1С', 'ERP', 'УТ']",Россия,250000
2024,Июнь,программист,,гибрид,"['1С', 'ЗУП', 'БП', 'УТ']",Россия,262500
2024,Июнь,функционального архитектора 1с:erp/ 1с:erp,lead,офис,"['1С', 'ERP']",Москва,62505
2024,Июнь,ведущего разработчика 1с,lead,удаленно,"['1С', 'ERP', 'ЗУП', 'БП', 'УТ', 'СКД']",Россия,350000
2024,Июнь,консультант,,удаленно,"['1С', 'ERP']",Россия,275000
2024,Июнь,разработчик,,гибрид,"['1С', 'ERP']",Россия,250000
2024,Июнь,программист,lead,удаленно,"['1С', 'ERP']",Мир,245000
2024,Июнь,программист,,удаленно,"['1С', 'ERP']",Нижний Новгород,260500
2024,Июнь,консультант по бюджетированию,middle,удаленно,"['1С', 'ERP']",Россия,260000
2024,Июнь,разработчик,,гибрид,['1С'],Россия,275000
2024,Июнь,аналитик,lead,удаленно,"['1С', 'ERP', 'УПП', 'ЗУП']",Россия,245000
2024,Июнь,разработчик,manager,удаленно,"['1С', 'ERP']",Мир,285000
2024,Июнь,разработчик,middle,удаленно,"['1С', 'СКД']",Россия,240000
2024,Июнь,разработчик 1с компания: ооо «мсп консалтинг» формат: #удаленно заработная плата: от 200 000 – 300 000 net трудоустройство: тк рф отклик: @margoshkaa23 обязанности • работа на проектах,,удаленно,"['1С', 'ERP']",Россия,250000
2024,Июнь,консультант 1с 📌формат: удаленная работа 📌занятость: полная 📌зп: 250 - 300 тыс,senior,удаленно,"['1С', 'ERP']",Мир,275000
2024,Июнь,руководитель проектов по автоматизации на 1c компания: 1c:slavver https://sla-v,lead,удаленно,"['1С', 'ERP', 'ЗУП', 'УТ']",Краснодар,325000
2024,Июнь,аналитик,middle,офис,"['1С', 'ERP', 'ЗУП', 'БП']",Мценск,275000
2024,Июнь,функционального архитектора 1с: охрана труда на базе зуп,lead,удаленно,"['1С', 'ЗУП']",Россия,437500
2024,Июнь,аналитик,,удаленно,"['1С', 'УПП']",Россия,285000
2024,Июнь,в нашу команду,,удаленно,"['1С', 'ERP']",Воронеж,260000
2024,Июнь,руководитель,manager,офис,"['1С', 'ERP']",Мир,375000
2024,Июнь,руководителя проектов,manager,гибрид,"['1С', 'ERP']",Мир,437500
2024,Июнь,программист,,удаленно,"['1С', 'ЗУП']",Россия,280000
2024,Июнь,программист,lead,удаленно,"['1С', 'ERP', 'ЗУП', 'БП']",Мир,270000
2024,Июнь,разработчик,,гибрид,"['1С', 'ERP', 'УТ']",Москва,313750
2024,Июнь,программист,,гибрид,"['1С', 'ERP']",Москва,325000
2024,Июнь,"конфигурации 1с; знание скд, rls, механизмов обмена между конфигурациями; опыт работы со сложными запросами и их оптимизация; опыт работы с конвертацией данных 2",senior,удаленно,"['1С', 'ЗУП', 'СКД']",Мир,205000
2024,Июнь,разработчик,,удаленно,"['1С', 'ERP']",Россия,270000
2024,Июнь,ведущий разработчик 1с wms,lead,гибрид,['1С'],Мир,313750
2024,Июнь,программист,senior,удаленно,"['1С', 'ERP']",Мир,280000
2024,Июнь,"несколько человек разные команды, задачи отличаются",lead,офис,['1С'],Москва,350000
2024,Июнь,ведущий программист 1с компания: ооо гк «компьютеры и сети» формат: #удаленно заработная плата: от 300 000 net резюме или,lead,удаленно,['1С'],Россия,375000
2024,Июнь,аналитик 1с erp компания: ооо «мсп консалтинг» формат: #удаленно/гибрид ( у нас есть офисы,,гибрид,"['1С', 'ERP']",Москва,275500
2024,Июнь,старший/ведущий разработчик 1с axelot компания: золотое яблоко формат: удаленка/офис мск/офис екб заработная плата: 200,senior,удаленно,"['1С', 'СКД']",Москва,262500
2024,Май,разработчик,lead,удаленно,"['1С', 'ERP', 'ЗУП']",Мир,280000
2024,Май,разработчик,,удаленно,['1С'],Москва,350000
2024,Май,консультант,manager,гибрид,"['1С', 'ERP']",Москва,437500
2024,Май,senior разработчиков 1с:зуп 💵,middle,удаленно,"['1С', 'ЗУП', 'БП', 'СКД']",Мир,275500
2024,Май,"конфигураций и расширениями 1с умение проводить анализ бизнес-требований и разрабатывать функциональные концепции приветствуется наличие сертификатов 1с-специалист, знание бухгалтерского и оперативного учета общение с",middle,гибрид,"['1С', 'БП', 'УТ', 'СКД']",Москва,313750
2024,Май,разработчик,,удаленно,"['1С', 'ERP', 'УТ']",Москва,318750
2024,Май,программист,,удаленно,"['1С', 'ERP']",Россия,280000
2024,Май,разработчик,lead,удаленно,"['1С', 'ERP', 'БП']",Мир,280000
2024,Май,разработчик,lead,гибрид,"['1С', 'SQL', 'ЗУП', 'БП']",Россия,325000
2024,Май,#бизнес-аналитик 1с (#ух),,удаленно,['1С'],Россия,235000
2024,Май,"аналитик 1с (erp, mes) компания: гринатом-аккредитованная компания формат работы: удалённо",,удаленно,"['1С', 'ERP', 'УПП']",Россия,225000
2024,Май,разработчик,lead,удаленно,"['1С', 'ERP']",Сим,280000
2024,Май,программист,lead,удаленно,"['1С', 'ERP']",Мир,265000
2024,Май,разработчик 1с,,удаленно,['1С'],Россия,271250
2024,Май,"разработчик 1с компания: кадровое агентство support partners формат: удаленка город: москва зп: от 270 000 net 💸условия: — оформление по тк,",middle,удаленно,"['1С', 'REST API']",Москва,337500
2024,Май,разработчика 1с (ерп) для нашего клиента – компании №1,,гибрид,['1С'],Москва,375000
2024,Май,программист,,удаленно,['1С'],Москва,300000
2024,Май,аналитик,lead,гибрид,"['1С', 'ERP', 'ЗУП']",Москва,313750
2024,Май,аналитика-консультанта 1с:wms компания: itvolna,middle,удаленно,"['1С', 'ERP']",Москва,262500
2024,Май,программист,,удаленно,"['1С', 'ERP', 'REST API']",Россия,265000
2024,Май,бизнес-архитектор компания: первый бит,,гибрид,"['1С', 'ERP']",Москва,305000
2024,Май,программист,manager,удаленно,"['1С', 'ERP']",Мир,380000
2024,Май,системных аналитиков 1с 💵 доход: от 205 тр до 270 тр net формат: удаленный/офисный/гибридный офис: г,,гибрид,['1С'],Россия,237500
2024,Май,разработчик,middle,гибрид,"['1С', 'СКД']",Москва,350000
2024,Май,"разработчик 1с формат: гибрид локация: москва, санкт-петербург, казань, нижний новгород зп: до 210-280 тысяч рублей (net) -",lead,гибрид,"['1С', 'ERP']",Москва,183750
2024,Май,аналитик,lead,гибрид,"['1С', 'ERP']",Москва,313750
2024,Май,эксперта 1с предлагаем: • зп от 390 000 net (фикс оклад) • годовой бонус • удалёнка на территории рф; • дмс со стоматологией,,удаленно,['1С'],Россия,487500
2024,Май,программист,lead,удаленно,['1С'],Мир,275500
2024,Май,менеджер,manager,гибкий,"['1С', 'ERP']",Краснодар,306250
2024,Май,программист,lead,удаленно,"['1С', 'ERP']",Мир,380000
2024,Май,📌 консультант-аналитик 1с:erp,middle,гибрид,"['1С', 'ERP']",Москва,313750
2024,Май,"ведущий программист 1с компания: протей город: санкт-петербург график: гибкий, удаленка или гибрид оформление: тк рф зп: от 200 до 300 k net 📊 ожидания: - опыт работы",lead,гибкий,"['1С', 'ERP']",Россия,250000
2024,Май,аналитик,lead,удаленно,"['1С', 'ERP']",Мир,362500
2024,Май,технического архитектора 1с,lead,удаленно,"['1С', 'ERP']",Мир,500000
2024,Май,"руководитель отдела 1с:erp москва, м",manager,офис,"['1С', 'ERP']",Москва,375000
2024,Май,аналитик,lead,удаленно,"['1С', 'ERP']",Мир,362500
2024,Май,аналитик,senior,удаленно,"['1С', 'ERP']",Мир,301000
2024,Май,аналитик 1с(оперативный учёт) график: full-time(удаленный формат) оформление по тк рф/гпх/ип/самозанятый оклад: от 251 000 net 📌задачи: -решение задач,,удаленно,"['1С', 'ERP']",Россия,313750
2024,Май,разработчик,,удаленно,"['1С', 'SQL', 'ERP', 'УПП', 'ЗУП', 'БП', 'УТ']",Россия,306250
2024,Май,программист,senior,гибрид,"['1С', 'ERP']",Москва,315000
2024,Май,программист,lead,удаленно,"['1С', 'ERP']",Мир,325000
2024,Май,программист,lead,удаленно,"['1С', 'ERP']",Мир,125000
2024,Май,функциональный архитектор 1с ух,lead,гибрид,['1С'],Россия,375000
2024,Май,"программист 1с компания: ниту мисис формат: офис/гибрид, фултайм с 9:15 до 17:45 з/п: 217500 – 252300 net + годовой бонус расположение: м",,гибрид,"['1С', 'УТ']",Октябрьский,234900
2024,Май,разработчик,lead,удаленно,"['1С', 'ERP', 'ЗУП']",Мир,305000
2024,Май,пресейл-архитектор компания: [первый бит,,гибрид,"['1С', 'ERP', 'УПП']",Москва,305000
2024,Май,разработчик,lead,гибрид,"['1С', 'ЗУП', 'УТ']",Вологда,325000
2024,Май,программист,lead,удаленно,"['1С', 'ERP', 'ЗУП']",Мир,250000
2024,Май,"разработчиков 1с (erp, бухгалтерия, битфинанс), часовой пояс мск",,удаленно,"['1С', 'ERP']",Москва,250000
2024,Май,программист,,удаленно,"['1С', 'ЗУП', 'БП']",Россия,262500
2024,Май,специалиста на позицию аналитик 1с до для крупного российского медиахолдинга полного цикла,middle,гибрид,['1С'],Москва,227500
2024,Май,аналитика-консультанта 1с:зуп,senior,удаленно,"['1С', 'ЗУП']",Мир,275500
2024,Май,программист,manager,удаленно,"['1С', 'ERP']",Мир,362500
2024,Май,руководитель,manager,гибрид,"['1С', 'ERP']",Москва,400000
2024,Май,аналитик,lead,удаленно,['1С'],Мир,350000
2024,Май,консультант,middle,удаленно,"['1С', 'ERP']",Мир,350000
2024,Май,разработчик,senior,удаленно,"['1С', 'ERP']",Мир,265000
2024,Май,программист 1с: erp уровень: старший местоположение:,senior,удаленно,"['1С', 'ERP']",Москва,285000
2024,Май,разработчик,senior,гибрид,"['1С', 'SQL', 'ERP']",Москва,375000
2024,Май,функциональный архитектор 1с компания: senior soft заработная плата: от 300 000 net требуемый опыт работы: от 3-х лет 💰условия: -неизменяемая окладная часть -трудоустройство,senior,удаленно,"['1С', 'ERP']",Россия,375000
2024,Май,аналитик-консультант 1с ух 📍локация: москва 📍формат работы: гибрид\удаленка 📍зп: 200-260 net крупнейшая,,гибрид,"['1С', 'ЗУП']",Москва,230000
2024,Май,аналитик,lead,удаленно,"['1С', 'ERP', 'УПП', 'ЗУП']",Россия,260000
2024,Май,программист,senior,удаленно,"['1С', 'ЗУП', 'БП']",Мир,275500
2024,Май,разработчика 1c,middle,удаленно,['1С'],Мир,275500
2024,Май,ведущего разработчика 1с:зуп 3,,гибрид,"['1С', 'ЗУП']",Россия,325000
2024,Май,программист,,гибрид,"['1С', 'REST API']",Мир,275500
2024,Май,программист,lead,удаленно,"['1С', 'ERP']",Московский,185000
2024,Май,аналитика 1с,middle,удаленно,"['1С', 'ERP', 'ЗУП']",Россия,313750
2024,Май,программист,lead,удаленно,"['1С', 'ERP']",Россия,265000
2024,Май,разработчик 1с заработная плата: до 320 000 net ℹ️гку мо «централизованная бухгалтерия московской области» - cамая крупная,,гибрид,"['1С', 'ЗУП']",Московский,280000
2024,Апрель,программист,lead,удаленно,"['1С', 'ERP', 'УПП']",Мир,275000
2024,Апрель,разработчик,manager,удаленно,['1С'],Мир,325000
2024,Апрель,на,lead,удаленно,"['1С', 'ERP']",Россия,337500
2024,Апрель,аналитик,,удаленно,['1С'],Россия,350000
2024,Апрель,программист,lead,удаленно,"['1С', 'ERP']",Мир,275000
2024,Апрель,аналитик,,удаленно,"['1С', 'ERP', 'БП', 'УТ']",Россия,350000
2024,Апрель,программист,middle,удаленно,"['1С', 'REST API']",Россия,295000
2024,Апрель,технического архитектора 1с,,удаленно,['1С'],Россия,487500
2024,Апрель,программист 1с аккредитованная компания финансовая группа бкс,,удаленно,"['1С', 'SQL', 'XML', 'JSON']",Москва,262500
2024,Апрель,разработчик,lead,удаленно,"['1С', 'ERP', 'ЗУП']",Мир,260000
2024,Апрель,__ консультант 1с erp ух__ компания: [itvolna,middle,удаленно,"['1С', 'ERP']",Мир,288750
2024,Апрель,разработчика,,гибкий,['1С'],Москва,227500
2024,Апрель,на,middle,удаленно,"['1С', 'ERP']",Россия,318750
2024,Апрель,программист,,офис,"['1С', 'ЗУП']",Ростов,245000
2024,Апрель,консультант,,гибрид,"['1С', 'ERP']",Москва,43755
2024,Апрель,middle/senior аналитиков и консультантов 1с 💵,middle,удаленно,"['1С', 'ERP', 'ЗУП', 'БП', 'УТ']",Мир,275000
2024,Апрель,разработчика 1с на,lead,удаленно,['1С'],Россия,250000
2024,Апрель,программист,,офис,"['1С', 'ЗУП', 'БП', 'СКД']",Московский,22875
2024,Апрель,программист,senior,удаленно,['1С'],Мир,260000
2024,Апрель,"опытного программиста 1с • у нас 40 конфигураций 1с • одномоментное количество сеансов от 3000 • конфигурации tms,ут,wms,ерп формат работы: полностью удаленный локация: москва, новосибирск, санкт-петербург доход",,гибкий,"['1С', 'УТ']",Москва,260000
2024,Апрель,аналитик,lead,удаленно,['1С'],Россия,260000
2024,Апрель,разработчик,lead,удаленно,"['1С', 'ERP']",Мир,255000
2024,Апрель,вас,,удаленно,"['1С', 'ERP']",Москва,255000
2024,Апрель,"1с разработчик 📩контакты: @nonnav ✅компания: it-ka ✅формат работы: удаленно,можно офис, полный день 5/2 ✅заработная плата: до 255 000р",,удаленно,"['1С', 'УПП', 'УТ', 'СКД']",Москва,223125
2024,Апрель,на,lead,удаленно,"['1С', 'SQL', 'ERP', 'СКД']",Россия,337500
2024,Апрель,разработчик,manager,удаленно,"['1С', 'ERP']",Мир,260000
2024,Апрель,"разработчика 1с для фармацевтической компании, лидера российского рынка по",,гибрид,"['1С', 'ERP', 'ЗУП', 'БП']",Москва,375000
2024,Апрель,аналитик,lead,удаленно,['1С'],Россия,260000
2024,Апрель,"аналитик 1с:erp, специализация: производство компания: 1с-перспектива оклад: до 350000 net + годовой бонус формат работы: гибрид/офис",,гибрид,"['1С', 'ERP']",Москва,306250
2024,Апрель,"системный аналитик 1c компания: bss (bank' soft systems) формат работы: удаленный (рф, рб, казахстан) зп: до 270 на руки что мы ждём от кандидата: • опыт работы системным аналитиком от 1,5 лет • опыт с 1с от года (управление торговлей и 1с:erp 2 продажи/ склад или честный знак + фгис меркурий) • опыт работы",,удаленно,"['1С', 'ERP']",Россия,236250
2024,Апрель,разработчик,middle,гибрид,"['1С', 'БП']",Москва,310000
2024,Апрель,разработчик,,удаленно,['1С'],Мир,262500
2024,Апрель,на,lead,гибрид,['1С'],Санкт-Петербург,262500
2024,Апрель,программист,lead,удаленно,"['1С', 'ERP']",Мир,325000
2024,Апрель,аналитик-консультант 1с:erp (на проект нашего партнера) компания: bss (bank's soft systems) формат работы: удаленный (рф и снг) зп: до 350 на руки (готовы обсуждать) грейд: senior (от 3-ёх лет опыта) __чем нужно будет заниматься:__ • определение требований и анализ бп,middle,удаленно,"['1С', 'ERP', 'БП']",Москва,306250
2024,Апрель,в компанию альфа-лизинг: 1с аналитика,,удаленно,"['1С', 'ERP', 'БП']",Россия,306250
2024,Апрель,разработчик,middle,удаленно,['1С'],Россия,306250
2024,Апрель,программист,lead,удаленно,['ERP'],Россия,260000
2024,Апрель,разработчик,lead,удаленно,"['1С', 'JSON', 'SOAP']",Россия,236250
2024,Апрель,программист,lead,удаленно,"['1С', 'ЗУП']",Мир,275000
2024,Апрель,аналитика-консультанта 1с на проекты по,middle,удаленно,"['1С', 'ERP', 'УТ']",Мир,350000
2024,Апрель,аналитик,manager,удаленно,['1С'],Мир,270000
2024,Апрель,на,middle,гибрид,['1С'],Санкт-Петербург,300000
2024,Апрель,специалиста: 👨🏻‍💻 руководитель проектов 1с: 💸 от 150 до 300 т,middle,офис,['1С'],Мир,225000
2024,Апрель,аналитик,manager,удаленно,['1С'],Мир,260000
2024,Апрель,менеджер,lead,удаленно,"['1С', 'ERP']",Мир,375000
2024,Апрель,программист,lead,удаленно,['1С'],Мир,250000
2024,Апрель,менеджер,middle,удаленно,"['1С', 'ERP']",Мир,375000
2024,Апрель,менеджер,lead,гибрид,"['1С', 'ERP']",Москва,450015
2024,Апрель,разработчик,,удаленно,"['1С', 'БП', 'УТ', 'XML', 'JSON']",Мир,187500
2024,Апрель,ведущих разработчиков 1с на крупный,lead,гибрид,"['1С', 'УТ']",Москва,387500
2024,Апрель,разработчик,,удаленно,"['1С', 'ERP', 'ЗУП', 'БП']",Мир,260000
2024,Апрель,"1с – разработчик (зуп, бп и erp) компания: mia dev зп: от 150-300 тыс",middle,удаленно,"['1С', 'ERP', 'ЗУП', 'БП', 'СКД', 'REST API', 'SOAP']",Москва,187500
2024,Апрель,аналитик 1с:erp компания: первый бит (проектный офис г,,гибрид,"['1С', 'ERP']",Россия,313750
2024,Апрель,программист,manager,удаленно,"['1С', 'ERP']",Мир,400000
2024,Апрель,программист 1с:ух формат работы: удаленный оклад: от 220 000 до 270 000 руб дополнительно: дмс по окончании испытательного срока о проекте: доработка 1с:ух (значительно дописанная),,удаленно,['1С'],Россия,245000
2024,Апрель,не для тебя,lead,гибрид,"['1С', 'ERP']",Москва,525000
2024,Апрель,программист,lead,удаленно,"['1С', 'ERP']",Мир,265500
2024,Апрель,ведущий консультант 1c:erp компания: 1с:slavver https://sla-v,lead,удаленно,"['1С', 'ERP']",Краснодар,337500
2024,Апрель,программист,,удаленно,"['1С', 'ERP']",Россия,315000
2024,Апрель,на,middle,удаленно,"['1С', 'ЗУП']",Россия,260500
2024,Апрель,программист 1с компания:,manager,удаленно,"['1С', 'ERP', 'УТ', 'СКД']",Россия,230000
2024,Апрель,"«руководитель отдела разработки и развития 1с» (работа без системы франчайзинга, in-house) 🌍 локация: удалёнка (можно и офис москва, по желанию) 💴 з/п: 250 000 - 350 000 руб 💻 тип работодателя: inhouse (внутренние задачи на развитие систем первого бита)",middle,удаленно,['1С'],Москва,300000
2024,Март,функционального архитектора (блок аренда) 🔹зп: от 350 000 до 400 000 т,lead,удаленно,"['1С', 'ERP']",Москва,375000
2024,Март,аналитик,lead,удаленно,"['1С', 'ERP']",Россия,250000
2024,Март,старший/ведущий аналитик wms axelot компания: золотое яблоко формат: удаленка/офис мск/офис екб заработная плата: 200,senior,удаленно,['1С'],Москва,306250
2024,Март,разработчик,lead,удаленно,"['1С', 'ERP', 'СКД', 'XML', 'JSON']",Россия,250000
2024,Март,на,,удаленно,['1С'],Россия,260500
2024,Март,разработчик,,гибрид,"['1С', 'ERP', 'УТ']",Москва,250000
2024,Март,программист,lead,удаленно,"['1С', 'ERP', 'ЗУП']",Мир,270000
2024,Март,программист 1с:зуп формат работы: удаленный оклад: от 220 000 до 270 000 руб дополнительно: дмс по окончании испытательного срока о проекте: миграция с босс кадровика на 1с требования: ⁃ опыт,,удаленно,"['1С', 'ЗУП', 'СКД']",Россия,245000
2024,Март,аналитик,,гибрид,"['1С', 'ЗУП', 'БП', 'УТ']",Москва,245000
2024,Март,программист,lead,гибрид,"['1С', 'ERP', 'УПП', 'ЗУП', 'СКД']",Россия,22500
2024,Март,программист,lead,удаленно,"['1С', 'ERP']",Мир,260000
2024,Март,"разработчика 1с (middle, senior) 💵 доход: от 250 тр до 280 net+ welcome bonus",middle,гибрид,"['1С', 'УТ']",Россия,265000
2024,Март,консультант,senior,удаленно,"['1С', 'ERP']",Москва,260000
2024,Март,разработчик 1с зарплата: 250- 300 т,middle,гибрид,"['1С', 'СКД']",Москва,275000
2024,Март,программист,manager,удаленно,"['1С', 'ЗУП']",Мир,260000
2024,Март,программист,lead,удаленно,['1С'],Мир,500000
